system:index,NDVI,month,year,.geo
42,0.4481675922870636,7.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.36056968569755554,8.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.3025759160518646,9.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.34200558066368103,10.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.3848104178905487,11.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,,12.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.1383228451013565,1.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.4162726402282715,2.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.47018080949783325,3.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.684445321559906,4.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,,5.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.7197133302688599,6.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.5456784963607788,7.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.46709245443344116,8.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.43264248967170715,9.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.5304884910583496,10.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,,11.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.5029232501983643,12.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.491850882768631,1.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,,2.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.3487952947616577,3.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.618611752986908,4.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.7270798683166504,5.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.6702997088432312,6.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,,7.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.4163435697555542,8.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.6274203062057495,9.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.5655809044837952,10.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,,11.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.532840371131897,12.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,,1.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.4379463791847229,2.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.4523719549179077,3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.04587053507566452,4.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,,5.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,,6.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.5229445099830627,7.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,,8.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.414598286151886,9.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.6303746104240417,10.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,,11.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,,12.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,,1.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,,2.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.5032879710197449,3.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,,4.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.7309967279434204,5.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,,6.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,,7.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.3751627504825592,8.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.6543175578117371,9.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,,10.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,,11.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,,12.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.05609285458922386,1.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,,2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,,3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,,4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.7518612742424011,5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.7202944755554199,6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0.5610156059265137,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0.14114151895046234,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0.5160808563232422,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.5360707640647888,10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,,11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
